"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Acetothermiia_or",0,0,0,0,0,0,0,0.963391136801542,2.20426157237326,0,0
"AT-s3-28_or",0,0,0,3.21543408360129,0,6.67556742323098,0,4.81695568400771,6.61278471711977,0,0
"Acidobacteria_unclassified",0,0,0,0,0,2.67022696929239,6.23700623700624,11.5606936416185,8.08229243203527,0,0
"Acidobacteriales",125,0,92.1501706484642,3.21543408360129,0,5.34045393858478,35.3430353430354,6.74373795761079,8.08229243203527,0,0
"Acidobacteriia_unclassified",0,0,0,0,0,0,2.07900207900208,0,0,0,0
"Solibacterales",177.536231884058,0,237.201365187713,112.540192926045,0,89.4526034712951,103.950103950104,141.618497109827,148.420279206466,0,0
"Subgroup_12",0,0,0,0,0,0,2.07900207900208,0,0,0,0
"Subgroup_13",12.6811594202899,0,15.358361774744,0,0,0,6.23700623700624,4.81695568400771,2.20426157237326,0,0
"Subgroup_2",47.1014492753623,0,27.3037542662116,0,0,0,0,6.74373795761079,12.4908155767818,0,0
"Aminicenantales",0,0,0,0,0,0,0,5.78034682080925,2.93901542983101,0,0
"11-24",59.7826086956522,0,66.5529010238908,3.21543408360129,0,4.00534045393859,4.15800415800416,14.4508670520231,12.4908155767818,0,0
"Blastocatellales",72.4637681159421,0,88.7372013651877,418.006430868167,0,388.518024032043,22.8690228690229,115.606936416185,137.3989713446,0,0
"DS-100",9.05797101449276,0,6.8259385665529,8.03858520900322,0,6.67556742323098,2.07900207900208,11.5606936416185,4.40852314474651,0,0
"Pyrinomonadales",710.144927536232,0,755.972696245734,588.424437299036,0,580.774365821095,45.7380457380458,32.7552986512524,35.2681851579721,0,0
"Holophagales",0,0,0,0,0,0,31.1850311850312,0,0,0,0
"Subgroup_7",228.260869565217,0,216.723549488055,83.6012861736335,0,140.186915887851,155.925155925156,40.4624277456647,37.4724467303453,0,0
"Subgroup_11_or",3.6231884057971,0,1.70648464163823,0,0,0,0,0.963391136801542,5.14327700220426,0,0
"Subgroup_15_or",7.2463768115942,0,1.70648464163823,3.21543408360129,0,0,0,5.78034682080925,17.634092578986,7.40740740740742,0
"Subgroup_17_or",76.0869565217392,0,100.682593856655,38.5852090032154,0,49.3991989319092,66.5280665280666,88.6319845857418,108.00881704629,0,0
"Subgroup_18_or",168.478260869565,0,121.160409556314,1.60771704180064,0,0,12.4740124740125,3.85356454720617,2.93901542983101,0,0
"Subgroup_20_or",1.81159420289855,0,5.11945392491468,0,0,1.3351134846462,0,0,0,0,0
"Subgroup_21_or",0,0,0,1.60771704180064,0,0,33.2640332640333,11.5606936416185,11.756061719324,0,0
"Subgroup_22_or",9.05797101449276,0,10.2389078498294,14.4694533762058,0,10.6809078771696,16.6320166320166,23.121387283237,99.1917707567965,0,0
"Subgroup_25_or",27.1739130434783,0,40.9556313993174,28.9389067524116,0,29.3724966622163,4.15800415800416,5.78034682080925,2.93901542983101,0,0
"Subgroup_26_or",0,0,0,0,0,0,0,1.92678227360308,1.4695077149155,0,0
"Subgroup_5_or",114.130434782609,0,148.464163822526,1.60771704180064,0,6.67556742323098,0,38.5356454720617,59.5150624540779,0,0
"Subgroup_6_or",1150.36231884058,0,1293.51535836178,1329.58199356913,0,1269.69292389853,330.561330561331,1019.26782273603,1228.50844966936,0,0
"Subgroup_6_unclassified",88.768115942029,0,54.6075085324232,49.83922829582,0,66.7556742323098,12.4740124740125,74.1811175337187,66.8626010286554,0,0
"Unknown_Order",0,0,3.41296928327645,11.2540192926045,0,13.351134846462,2.07900207900208,25.0481695568401,17.634092578986,7.40740740740742,0
"Subgroup_9_or",0,0,0,0,0,0,0,44.3159922928709,47.7590007347539,0,0
"Thermoanaerobaculales",5.43478260869565,0,18.7713310580205,54.6623794212219,0,78.7716955941255,24.948024948025,189.788053949904,182.218956649522,0,0
"0319-7L14_or",10.8695652173913,0,37.542662116041,237.942122186495,0,337.783711615487,4.15800415800416,0,0,0,0
"Acidimicrobiales",38.0434782608696,0,32.4232081911263,0,0,0,0,0,0,0,0
"Acidimicrobiia_unclassified",23.5507246376812,0,32.4232081911263,122.186495176849,0,156.208277703605,22.8690228690229,23.121387283237,15.4298310066128,0,0
"Actinomarinales",0,0,0,96.4630225080386,0,158.878504672897,6.23700623700624,683.044315992293,603.967670830272,0,0
"IMCC26256",416.666666666667,0,389.078498293516,123.79421221865,0,161.54873164219,8.31600831600832,116.570327552987,108.00881704629,0,0
"Microtrichales",152.173913043478,500.000000000068,216.723549488055,1123.79421221865,76.9230769230785,1303.07076101469,116.424116424116,770.712909441233,648.787656135195,29.6296296296297,0
"uncultured",289.855072463768,0,401.023890784983,372.990353697749,76.9230769230785,416.555407209613,47.8170478170478,358.381502890173,321.822189566495,0,0
"Actinobacteria_unclassified",1574.27536231884,0,1716.72354948806,567.524115755627,76.9230769230785,512.683578104139,10.3950103950104,78.9980732177264,66.8626010286554,29.6296296296297,0
"Actinomycetales",0,0,0,0,0,0,0,0,0,74.0740740740742,0
"Catenulisporales",5.43478260869565,0,11.9453924914676,0,0,0,0,0,0,0,0
"Corynebacteriales",163.04347826087,0,269.62457337884,51.4469453376206,0,37.3831775700935,4.15800415800416,106.936416184971,69.8016164584864,1059.25925925926,0
"Frankiales",860.507246376812,0,1025.59726962457,1221.86495176849,0,583.444592790387,83.1600831600832,127.167630057803,109.478324761205,29.6296296296297,0
"Glycomycetales",0,0,0,0,0,0,0,8.67052023121387,3.67376928728876,0,0
"Kineosporiales",25.3623188405797,0,83.6177474402731,96.4630225080386,0,48.064085447263,4.15800415800416,35.645472061657,8.81704628949302,0,0
"Micrococcales",119.565217391304,0,332.764505119454,700.964630225081,76.9230769230785,407.20961281709,108.108108108108,1069.36416184971,939.750183688465,459.25925925926,0
"Micromonosporales",838.768115942029,0,1059.72696245734,754.019292604502,0,538.050734312417,79.002079002079,125.2408477842,86.7009551800147,0,0
"PeM15",0,0,0,0,0,0,4.15800415800416,4.81695568400771,2.20426157237326,0,0
"Propionibacteriales",650.36231884058,0,1119.45392491468,1215.43408360129,0,1120.16021361816,99.7920997920998,734.104046242775,627.47979426892,140.740740740741,0
"Pseudonocardiales",1793.47826086957,0,1484.64163822526,279.742765273312,0,185.580774365821,8.31600831600832,44.3159922928709,36.0029390154298,22.2222222222223,0
"Streptomycetales",646.739130434783,0,899.317406143345,72.347266881029,0,69.4259012016022,8.31600831600832,140.655105973025,109.478324761205,0,0
"Streptosporangiales",141.304347826087,0,264.505119453925,38.5852090032154,0,28.0373831775701,6.23700623700624,23.121387283237,18.3688464364438,7.40740740740742,0
"Coriobacteriales",0,0,0,0,0,0,0,0,0,14.8148148148148,0
"FS118-23B-02",0,0,0,0,0,0,0,0.963391136801542,0,0,0
"OPB41",0,0,0,0,0,0,8.31600831600832,4.81695568400771,0,0,0
"MB-A2-108_or",1719.20289855073,0,2037.54266211604,871.382636655949,230.769230769236,1129.50600801068,62.3700623700624,355.491329479769,296.840558412932,14.8148148148148,0
"Euzebyales",0,0,1.70648464163823,32.1543408360129,0,26.7022696929239,0,2.89017341040462,5.87803085966201,0,0
"Nitriliruptorales",0,0,0,0,0,0,0,27.9383429672447,13.2255694342395,0,0
"Nitriliruptoria_unclassified",0,0,0,9.64630225080386,0,8.01068090787717,0,0,0,0,0
"RBG-16-55-12_or",0,0,0,0,0,0,0,1.92678227360308,0,0,0
"Rubrobacterales",43.4782608695652,0,148.464163822526,528.938906752412,0,379.172229639519,2.07900207900208,0.963391136801542,2.20426157237326,7.40740740740742,0
"Gaiellales",3744.56521739131,0,4629.69283276451,3127.00964630225,384.615384615393,3259.01201602136,91.4760914760915,441.233140655106,385.011021307862,44.4444444444445,0
"Solirubrobacterales",2771.73913043478,0,3948.80546075086,3274.91961414791,153.846153846157,3177.57009345795,58.2120582120582,250.481695568401,171.932402645114,81.4814814814816,0
"Thermoleophilia_unclassified",48.9130434782609,0,95.5631399317407,96.4630225080386,0,78.7716955941255,4.15800415800416,3.85356454720617,3.67376928728876,0,0
"WCHB1-81_or",0,0,0,0,0,0,0,0,2.93901542983101,0,0
"Armatimonadetes_unclassified",0,0,0,1.60771704180064,0,1.3351134846462,2.07900207900208,0.963391136801542,0,0,0
"Armatimonadales",18.1159420289855,0,13.6518771331058,149.51768488746,0,152.202937249666,4.15800415800416,0,0,0,0
"Chthonomonadales",86.9565217391305,0,88.7372013651878,3.21543408360129,0,14.6862483311081,10.3950103950104,2.89017341040462,1.4695077149155,0,0
